0,11,2,0,2217
0,11,2,1,2248
0,11,2,2,2563
0,11,3,0,2270
0,11,3,1,2243
0,11,3,2,2509
0,11,4,0,2259
0,11,4,1,2260
0,11,4,2,0
0,11,5,0,0
0,11,5,1,0
0,11,5,2,0
0,12,0,0,3114
0,12,0,1,2550
0,12,0,2,2543
0,12,1,0,2973
0,12,1,1,2568
0,12,1,2,2416
0,12,2,0,3125
0,12,2,1,2697
0,12,2,2,2660
0,12,3,0,3072
0,12,3,1,2567
0,12,3,2,2633
0,12,4,0,3117
0,12,4,1,2604
0,12,4,2,0
0,12,5,0,0
0,12,5,1,0
0,12,5,2,0
0,13,0,0,2860
0,13,0,1,2486
0,13,0,2,2647
0,13,1,0,2980
0,13,1,1,2451
0,13,1,2,2471
0,13,2,0,2824
0,13,2,1,2469
0,13,2,2,2561
0,13,3,0,2607
0,13,3,1,2474
0,13,3,2,2629
0,13,4,0,2791
0,13,4,1,2579
0,13,4,2,0
0,13,5,0,0
0,13,5,1,0
0,13,5,2,0
0,14,0,0,1942
0,14,0,1,2015
0,14,0,2,2002
0,14,1,0,1909
0,14,1,1,2152
0,14,1,2,2124
0,14,2,0,1985
0,14,2,1,2086
0,14,2,2,2164
0,14,3,0,1921
0,14,3,1,2070
0,14,3,2,1997
0,14,4,0,1877
0,14,4,1,2003
0,14,4,2,0
0,14,5,0,0
0,14,5,1,0
0,14,5,2,0
1,0,0,0,1313
1,0,0,1,1387
1,0,0,2,1349
1,0,1,0,1339
1,0,1,1,1402
1,0,1,2,1399
1,0,2,0,1318
1,0,2,1,1391
1,0,2,2,1377
1,0,3,0,1354
1,0,3,1,1358
1,0,3,2,1360
1,0,4,0,1371
1,0,4,1,1420
1,0,4,2,0
1,0,5,0,0
1,0,5,1,0
1,0,5,2,0
1,1,0,0,1363
1,1,0,1,1481
1,1,0,2,1500
1,1,1,0,1351
1,1,1,1,1347
1,1,1,2,1366
1,1,2,0,1388
1,1,2,1,1343
1,1,2,2,1402
1,1,3,0,1381
1,1,3,1,1473
1,1,3,2,1401
1,1,4,0,1342
1,1,4,1,1497
1,1,4,2,0
1,1,5,0,0
1,1,5,1,0
1,1,5,2,0
1,2,0,0,1432
1,2,0,1,1621
1,2,0,2,1576
1,2,1,0,1453
1,2,1,1,1577
1,2,1,2,1517
1,2,2,0,1571
1,2,2,1,1804
1,2,2,2,1522
1,2,3,0,1389
1,2,3,1,1819
1,2,3,2,1449
1,2,4,0,1533
1,2,4,1,1721
1,2,4,2,0
1,2,5,0,0
1,2,5,1,0
1,2,5,2,0
1,3,0,0,1447
1,3,0,1,0
1,3,0,2,1458
1,3,1,0,1197
1,3,1,1,1407
1,3,1,2,1375
1,3,2,0,1073
1,3,2,1,1342
1,3,2,2,1143
1,3,3,0,1057
1,3,3,1,1267
1,3,3,2,1069
1,3,4,0,1148
1,3,4,1,1280
1,3,4,2,0
1,3,5,0,0
1,3,5,1,0
1,3,5,2,0
1,4,0,0,0
1,4,0,1,0
1,4,0,2,0
1,4,1,0,0
1,4,1,1,0
1,4,1,2,0
1,4,2,0,0
1,4,2,1,0
1,4,2,2,0
1,4,3,0,0
1,4,3,1,0
1,4,3,2,0
1,4,4,0,0
1,4,4,1,0
1,4,4,2,0
1,4,5,0,0
1,4,5,1,0
1,4,5,2,0
1,5,0,0,1149
1,5,0,1,1420
1,5,0,2,1308
1,5,1,0,1247
1,5,1,1,1371
1,5,1,2,1406
1,5,2,0,1299
1,5,2,1,1400
1,5,2,2,1482
1,5,3,0,1400
1,5,3,1,1516
1,5,3,2,1564
1,5,4,0,1386
1,5,4,1,1369
1,5,4,2,0
1,5,5,0,0
1,5,5,1,0
1,5,5,2,0
1,6,0,0,0
1,6,0,1,0
1,6,0,2,0
1,6,1,0,0
1,6,1,1,0
1,6,1,2,0
1,6,2,0,0
1,6,2,1,0
1,6,2,2,0
1,6,3,0,0
1,6,3,1,0
1,6,3,2,0
1,6,4,0,0
1,6,4,1,0
1,6,4,2,0
1,6,5,0,0
1,6,5,1,0
1,6,5,2,0
1,7,0,0,1212
1,7,0,1,1414
1,7,0,2,1325
1,7,1,0,1224
1,7,1,1,1339
1,7,1,2,1252
1,7,2,0,1138
1,7,2,1,1367
1,7,2,2,1287
1,7,3,0,1236
1,7,3,1,1398
1,7,3,2,1316
1,7,4,0,1280
1,7,4,1,1318
1,7,4,2,0
1,7,5,0,0
1,7,5,1,0
1,7,5,2,0
1,8,0,0,1585
1,8,0,1,1485
1,8,0,2,1350
1,8,1,0,1407
1,8,1,1,1435
1,8,1,2,1308
1,8,2,0,1357
1,8,2,1,1523
1,8,2,2,1370
1,8,3,0,1439
1,8,3,1,1641
1,8,3,2,1431
1,8,4,0,1509
1,8,4,1,1499
1,8,4,2,0
1,8,5,0,0
1,8,5,1,0
1,8,5,2,0
1,9,0,0,1150
1,9,0,1,1800
1,9,0,2,1543
1,9,1,0,1200
1,9,1,1,1740
1,9,1,2,1589
1,9,2,0,955
1,9,2,1,1255
1,9,2,2,1084
1,9,3,0,1007
1,9,3,1,1254
1,9,3,2,1096
1,9,4,0,1120
1,9,4,1,1249
1,9,4,2,0
1,9,5,0,0
1,9,5,1,0
1,9,5,2,0
1,10,0,0,1275
1,10,0,1,1384
1,10,0,2,1563
1,10,1,0,1319
1,10,1,1,1385
1,10,1,2,1564
1,10,2,0,1330
1,10,2,1,1423
1,10,2,2,1554
1,10,3,0,1372
1,10,3,1,1471
1,10,3,2,1575
1,10,4,0,1383
1,10,4,1,1481
1,10,4,2,0
1,10,5,0,0
1,10,5,1,0
1,10,5,2,0
1,11,0,0,1260
1,11,0,1,1410
1,11,0,2,1429
1,11,1,0,1317
1,11,1,1,1455
1,11,1,2,1382
1,11,2,0,1394
1,11,2,1,1503
1,11,2,2,1340
1,11,3,0,1275
1,11,3,1,1406
1,11,3,2,1097
1,11,4,0,1311
1,11,4,1,1397
1,11,4,2,0
1,11,5,0,0
1,11,5,1,0
1,11,5,2,0
1,12,0,0,1321
1,12,0,1,1602
1,12,0,2,1515
1,12,1,0,1299
1,12,1,1,1301
1,12,1,2,1419
1,12,2,0,990
