0,9,8,0,0
0,9,8,1,0
0,9,8,2,0
0,9,9,0,0
0,9,9,1,0
0,9,9,2,0
0,9,10,0,0
0,9,10,1,0
0,9,10,2,0
0,9,11,0,0
0,9,11,1,0
0,9,11,2,0
0,10,0,0,1554
0,10,0,1,1675
0,10,0,2,0
0,10,1,0,1484
0,10,1,1,1628
0,10,1,2,1200
0,10,2,0,1211
0,10,2,1,1648
0,10,2,2,0
0,10,3,0,1539
0,10,3,1,1593
0,10,3,2,0
0,10,4,0,1540
0,10,4,1,1686
0,10,4,2,1200
0,10,5,0,0
0,10,5,1,0
0,10,5,2,0
0,10,6,0,0
0,10,6,1,0
0,10,6,2,0
0,10,7,0,0
0,10,7,1,0
0,10,7,2,0
0,10,8,0,0
0,10,8,1,0
0,10,8,2,0
0,10,9,0,0
0,10,9,1,0
0,10,9,2,0
0,10,10,0,0
0,10,10,1,0
0,10,10,2,0
0,10,11,0,0
0,10,11,1,0
0,10,11,2,0
0,11,0,0,2092
0,11,0,1,2180
0,11,0,2,2440
0,11,1,0,2085
0,11,1,1,2177
0,11,1,2,2490
0,11,2,0,2094
0,11,2,1,2178
0,11,2,2,2489
0,11,3,0,2156
0,11,3,1,2197
0,11,3,2,2400
0,11,4,0,2133
0,11,4,1,2220
0,11,4,2,2387
0,11,5,0,0
0,11,5,1,0
0,11,5,2,0
0,11,6,0,0
0,11,6,1,0
0,11,6,2,0
0,11,7,0,0
0,11,7,1,0
0,11,7,2,0
0,11,8,0,0
0,11,8,1,0
0,11,8,2,0
0,11,9,0,0
0,11,9,1,0
0,11,9,2,0
0,11,10,0,0
0,11,10,1,0
0,11,10,2,0
0,11,11,0,0
0,11,11,1,0
0,11,11,2,0
0,12,0,0,3242
0,12,0,1,2523
0,12,0,2,2539
0,12,1,0,3046
0,12,1,1,2542
0,12,1,2,2552
0,12,2,0,2969
0,12,2,1,2429
0,12,2,2,2530
0,12,3,0,2764
0,12,3,1,2473
0,12,3,2,2471
0,12,4,0,2609
0,12,4,1,2507
0,12,4,2,2454
0,12,5,0,0
0,12,5,1,0
0,12,5,2,0
0,12,6,0,0
0,12,6,1,0
0,12,6,2,0
0,12,7,0,0
0,12,7,1,0
0,12,7,2,0
0,12,8,0,0
