1,1,1,1,1849
2,1,1,1,1816
3,1,1,1,1809
4,1,1,1,1744
1,1,2,1,1814
2,1,2,1,1778
3,1,2,1,1800
4,1,2,1,1776
1,1,3,1,1654
2,1,3,1,1634
3,1,3,1,1624
4,1,3,1,1580
1,1,4,1,1669
2,1,4,1,1686
3,1,4,1,1669
4,1,4,1,1680
1,1,5,1,1733
2,1,5,1,1767
3,1,5,1,1675
4,1,5,1,1711
1,1,6,1,1630
2,1,6,1,1654
3,1,6,1,1657
4,1,6,1,1619
1,1,7,1,1555
2,1,7,1,1503
3,1,7,1,1542
4,1,7,1,1499
1,1,8,1,1637
2,1,8,1,1692
3,1,8,1,1626
4,1,8,1,1673
1,1,9,1,1733
2,1,9,1,1753
3,1,9,1,1765
4,1,9,1,1793
1,1,10,1,1804
2,1,10,1,1758
3,1,10,1,1738
4,1,10,1,1777
1,1,11,1,1791
2,1,11,1,1750
3,1,11,1,1766
4,1,11,1,1790
1,1,0,2,1887
2,1,0,2,1829
3,1,0,2,1890
4,1,0,2,1815
1,1,1,2,1852
2,1,1,2,1767
3,1,1,2,1861
4,1,1,2,1837
1,1,2,2,1898
2,1,2,2,1919
3,1,2,2,1742
4,1,2,2,1839
1,1,3,2,1843
2,1,3,2,1743
3,1,3,2,1665
4,1,3,2,1721
1,1,4,2,1887
2,1,4,2,1813
3,1,4,2,1830
4,1,4,2,1721
1,1,5,2,1628
2,1,5,2,1572
3,1,5,2,1620
4,1,5,2,1605
1,1,6,2,1605
2,1,6,2,1630
3,1,6,2,1623
4,1,6,2,1621
1,1,7,2,1636
2,1,7,2,1601
3,1,7,2,1608
4,1,7,2,1609
1,1,8,2,1536
2,1,8,2,1545
3,1,8,2,1544
4,1,8,2,1589
1,1,9,2,1589
2,1,9,2,1552
3,1,9,2,1630
4,1,9,2,1508
1,1,10,2,1562
2,1,10,2,1569
3,1,10,2,1596
4,1,10,2,1616
1,1,11,2,1558
2,1,11,2,1550
3,1,11,2,1596
4,1,11,2,1611
1,1,0,3,1678
2,1,0,3,1638
3,1,0,3,1700
4,1,0,3,1612
1,1,1,3,1587
2,1,1,3,1577
3,1,1,3,1577
4,1,1,3,1544
1,1,2,3,1496
2,1,2,3,1574
3,1,2,3,1622
4,1,2,3,1634
1,1,3,3,1695
2,1,3,3,1659
3,1,3,3,1622
4,1,3,3,1643
1,1,4,3,1688
2,1,4,3,1645
3,1,4,3,1612
4,1,4,3,1637
1,1,5,3,1580
2,1,5,3,1544
3,1,5,3,1515
4,1,5,3,1579
1,1,6,3,1613
2,1,6,3,1681
3,1,6,3,1579
4,1,6,3,1517
1,1,7,3,1474
2,1,7,3,1444
3,1,7,3,1579
4,1,7,3,1559
1,1,8,3,1526
2,1,8,3,1467
3,1,8,3,1515
4,1,8,3,1444
1,1,9,3,1493
2,1,9,3,1596
3,1,9,3,1685
4,1,9,3,1590
1,1,10,3,1723
2,1,10,3,1785
3,1,10,3,1696
4,1,10,3,1717
1,1,11,3,1817
2,1,11,3,1778
3,1,11,3,1822
4,1,11,3,1844
1,1,0,4,1804
2,1,0,4,1823
3,1,0,4,1776
4,1,0,4,1800
1,1,1,4,1768
2,1,1,4,1801
3,1,1,4,1801
4,1,1,4,1697
1,1,2,4,1748
2,1,2,4,1845
3,1,2,4,1799
4,1,2,4,1690
1,1,3,4,1763
2,1,3,4,1625
3,1,3,4,1707
4,1,3,4,1705
1,1,4,4,1692
2,1,4,4,1706
3,1,4,4,1779
4,1,4,4,1741
1,1,5,4,1740
2,1,5,4,1767
3,1,5,4,1837
4,1,5,4,1821
1,1,6,4,1807
2,1,6,4,1768
3,1,6,4,1784
4,1,6,4,1753
1,1,7,4,1692
2,1,7,4,1791
3,1,7,4,1835
4,1,7,4,1794
1,1,8,4,1767
2,1,8,4,1784
3,1,8,4,1762
4,1,8,4,1783
1,1,9,4,1784
2,1,9,4,1931
3,1,9,4,1788
4,1,9,4,1834
1,1,10,4,1961
2,1,10,4,1767
3,1,10,4,1868
4,1,10,4,1972
1,1,11,4,1992
2,1,11,4,1918
3,1,11,4,1915
4,1,11,4,1905
1,1,0,5,1897
2,1,0,5,1950
3,1,0,5,1931
4,1,0,5,1904
1,1,1,5,1855
2,1,1,5,1831
3,1,1,5,1840
4,1,1,5,1834
1,1,2,5,1800
2,1,2,5,1682
3,1,2,5,1777
4,1,2,5,1851
1,1,3,5,1810
2,1,3,5,1730
3,1,3,5,1715
4,1,3,5,1837
1,1,4,5,1775
2,1,4,5,1734
3,1,4,5,1654
4,1,4,5,1624
1,1,5,5,1688
2,1,5,5,1656
3,1,5,5,1653
4,1,5,5,1629
1,1,6,5,1718
2,1,6,5,1637
3,1,6,5,1661
4,1,6,5,1707
1,1,7,5,1744
2,1,7,5,1788
3,1,7,5,1730
4,1,7,5,1707
1,1,8,5,1762
2,1,8,5,1697
3,1,8,5,1719
4,1,8,5,1674
1,1,9,5,1801
2,1,9,5,1778
3,1,9,5,0
4,1,9,5,0
1,1,10,5,0
2,1,10,5,0
3,1,10,5,0
4,1,10,5,0
1,1,11,5,0
2,1,11,5,0
3,1,11,5,0
4,1,11,5,0
